count	subject	subject_id
880	fiction	5495
766	protected daisy	5513
580	accessible book	5488
511	in library	5519
273	overdrive	5506
148	history	5549
126	classic literature	5491
125	large type books	5532
124	social life and customs	5617
96	literature	5565
92	fiction in english	5536
79	popular print disabled books	5520
68	juvenile fiction	5738
51	women	5577
50	translations into english	5511
46	biography	5591
45	world war	5582
42	new york times bestseller	5542
42	young women	5604
40	ficción	5583
39	drama	5550
39	science fiction	5544
37	social conditions	5868
37	british	5639
37	young men	6000
34	readers	5509
32	fantasy	6054
32	historical fiction	5585
30	english fiction	5572
29	man-woman relationships	5744
28	family	6088
27	friendship	5594
25	fantasy fiction	5547
25	juvenile literature	5649
24	married women	5551
24	triangles 	5759
23	england	5952
23	manuscripts	5676
22	married people	5691
21	detective and mystery stories	5640
21	orphans	5827
21	americans	5671
20	fathers and daughters	5592
20	nonfiction	5657
20	translations into russian	5742
20	travel	5713
20	psychological fiction	5530
20	romance	6018
19	murder	5902
19	domestic fiction	5531
19	facsimiles	5674
19	families	5615
18	sisters	5606
18	social classes	5608
18	authors	5809
18	english language	5772
17	gay men	5527
17	criticism and interpretation	6029
16	race relations	5666
16	description and travel	5807
16	history and criticism	5950
16	man booker prize winner	5570
16	award:man_booker_prize	5571
16	city and town life	5525
16	death	5783
16	romans	5588
16	male friendship	5727
15	boys	5636
15	private investigators	5545
15	inheritance and succession	5808
15	jews	5792
15	country homes	5613
15	children's stories	5735
15	fathers and sons	5786
14	thriller	5566
14	adaptations	5824
14	french fiction	5496
13	comic books	5648
13	psychology	5843
13	adventure stories	6168
13	immigrants	6253
13	adultery	5757
13	specimens	6057
12	interpersonal relations	5540
12	national book critics circle award winner	5486
12	politics and government	5514
12	african americans	5849
12	award:national_book_critics_circle_award	5487
11	women authors	5751
11	adventure and adventurers	6435
11	clergy	5760
11	mothers and daughters	5798
11	ficción juvenil	6077
11	german fiction	5873
11	artists	6144
11	english literature	5553
11	books and reading	5602
11	united states	6355
11	authorship	6273
11	criminals	5557
11	lending library	5500
11	mystery	5529
